交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/03/02,TXO,202103W1,14300.0000,買權,-,-,-,-,0,1650,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14300.0000,賣權,-,-,-,-,0,0.1,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14400.0000,買權,-,-,-,-,0,1550,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14400.0000,賣權,-,-,-,-,0,0.1,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14500.0000,買權,-,-,-,-,0,1450,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,14500.0000,賣權,0.2,0.5,0.1,0.2,115,0.2,1555,0.1,0.5,3.3,0.1,,一般,
2021/03/02,TXO,202103W1,14500.0000,賣權,2.5,3.3,1.8,2,293,-,-,2,2.3,3.3,0.3,,盤後,
2021/03/02,TXO,202103W1,14600.0000,買權,-,-,-,-,0,1350,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,14600.0000,賣權,0.1,0.2,0.1,0.2,117,0.2,742,-,0.5,2.9,0.1,,一般,
2021/03/02,TXO,202103W1,14600.0000,賣權,2.9,2.9,2.1,2.7,27,-,-,2.2,3.9,2.9,0.4,,盤後,
2021/03/02,TXO,202103W1,14700.0000,買權,-,-,-,-,0,1250,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,14700.0000,賣權,0.7,0.7,0.1,0.3,254,0.3,2357,-,0.5,6.1,0.1,,一般,
2021/03/02,TXO,202103W1,14700.0000,賣權,2.9,6.1,0.2,2.9,453,-,-,1.7,3.5,6.1,0.2,,盤後,
2021/03/02,TXO,202103W1,14800.0000,買權,-,-,-,-,0,1150,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,14800.0000,賣權,0.8,0.8,0.2,0.3,396,0.5,872,0.4,0.5,6.8,0.2,,一般,
2021/03/02,TXO,202103W1,14800.0000,賣權,4,6.8,2.5,2.6,355,-,-,2.5,3.5,6.8,0.5,,盤後,
2021/03/02,TXO,202103W1,14900.0000,買權,-,-,-,-,0,1050,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,14900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,14900.0000,賣權,0.1,0.9,0.1,0.7,191,0.7,1438,0.1,0.8,10,0.1,,一般,
2021/03/02,TXO,202103W1,14900.0000,賣權,4.8,10,3.1,4.5,283,-,-,4.5,5,10,0.7,,盤後,
2021/03/02,TXO,202103W1,15000.0000,買權,-,-,-,-,0,950,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,15000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,15000.0000,賣權,0.3,1,0.2,0.8,1754,0.8,3196,0.2,0.7,14,0.2,,一般,
2021/03/02,TXO,202103W1,15000.0000,賣權,6.5,14,3.8,6,1860,-,-,5,6.4,14,0.9,,盤後,
2021/03/02,TXO,202103W1,15100.0000,買權,-,-,-,-,0,850,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,15100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2021/03/02,TXO,202103W1,15100.0000,賣權,1,1.1,0.3,0.9,866,0.9,3337,0.2,1,19,0.3,,一般,
2021/03/02,TXO,202103W1,15100.0000,賣權,8.3,19,5.2,6.8,1993,-,-,6.7,7.5,19,1,,盤後,
2021/03/02,TXO,202103W1,15200.0000,買權,960,960,960,960,1,750,1,615,940,960,800,,一般,
2021/03/02,TXO,202103W1,15200.0000,買權,800,800,800,800,1,-,-,105,-,800,800,,盤後,
2021/03/02,TXO,202103W1,15200.0000,賣權,1,1.9,0.3,1.1,1314,1.1,5239,0.7,1.2,50,0.3,,一般,
2021/03/02,TXO,202103W1,15200.0000,賣權,13.5,50,7,10,2993,-,-,8.5,10,50,1.2,,盤後,
2021/03/02,TXO,202103W1,15300.0000,買權,-,-,-,-,0,650,0,-,-,-,-,,一般,
2021/03/02,TXO,202103W1,15300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
