Date,Open,High,Low,Close
2020/10/05,12567.88,12637.62,12519.12,12548.28
2020/10/06,12644.09,12706.39,12644.09,12704.23
2020/10/07,12667.51,12774.36,12619.81,12746.37
2020/10/08,12832.54,12887.19,12818.01,12887.19
2020/10/12,12959.15,12997.79,12898.89,12955.91
2020/10/13,12988.44,12994.66,12857.1,12947.13
2020/10/14,12927.09,12960.0,12895.79,12919.31
2020/10/15,12892.29,12909.11,12786.26,12827.82
2020/10/16,12814.16,12896.3,12750.37,12750.37
2020/10/19,12803.32,12911.41,12803.32,12908.34
2020/10/20,12889.99,12917.75,12862.37,12862.37
2020/10/21,12889.88,12942.12,12846.42,12877.25
2020/10/22,12854.97,12917.03,12827.4,12917.03
2020/10/23,12945.12,12963.26,12875.23,12898.82
2020/10/26,12923.55,12971.58,12894.18,12909.03
2020/10/27,12867.77,12884.32,12821.07,12875.01
2020/10/28,12853.76,12879.98,12761.33,12793.75
2020/10/29,12687.64,12699.82,12583.37,12662.91
2020/10/30,12651.35,12656.29,12546.34,12546.34
2020/11/02,12565.32,12594.34,12480.66,12591.31
2020/11/03,12641.28,12760.14,12641.28,12736.01
2020/11/04,12766.86,12885.28,12736.02,12867.9
2020/11/05,12878.01,12918.8,12840.4,12918.8
2020/11/06,12952.49,12999.16,12927.3,12973.53
2020/11/09,13053.98,13149.9,13048.67,13127.47
2020/11/10,13090.65,13142.22,13022.92,13081.72
2020/11/11,13067.04,13262.19,13067.04,13262.19
2020/11/12,13324.86,13324.86,13193.74,13221.78
2020/11/13,13221.8,13273.33,13170.12,13273.33
2020/11/16,13356.74,13551.83,13356.74,13551.83
2020/11/17,13723.77,13780.12,13593.01,13593.01
2020/11/18,13628.42,13773.29,13608.72,13773.29
2020/11/19,13775.26,13785.92,13700.04,13722.43
2020/11/20,13702.59,13726.22,13666.07,13716.44
2020/11/23,13793.55,13921.16,13793.55,13878.01
2020/11/24,13918.84,13951.17,13798.32,13807.13
2020/11/25,13860.95,13893.2,13731.81,13738.83
2020/11/26,13763.79,13856.76,13763.79,13845.66
2020/11/27,13833.21,13885.01,13811.81,13867.09
2020/11/30,13917.65,13969.39,13722.89,13722.89
2020/12/01,13810.55,13885.67,13749.71,13885.67
2020/12/02,13970.51,13995.7,13894.7,13989.14
2020/12/03,13988.49,14049.58,13940.07,13977.09
2020/12/04,14010.17,14149.56,14010.17,14132.44
2020/12/07,14230.0,14306.87,14142.02,14256.6
2020/12/08,14251.94,14367.0,14184.58,14360.4
2020/12/09,14336.69,14427.41,14336.69,14390.14
2020/12/10,14295.15,14319.38,14191.85,14249.49
2020/12/11,14298.59,14353.17,14081.42,14261.69
2020/12/14,14238.92,14270.34,14182.25,14211.05
